Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,55.860001,55.959999,55.230000,55.549999,47.873371,9904400
2016-12-06,55.709999,56.040001,55.560001,56.029999,48.287037,5924400
2016-12-07,55.549999,55.680000,54.360001,55.240002,47.606216,12210800
2016-12-08,54.930000,55.419998,54.779999,55.230000,47.597607,8191200
2016-12-09,55.160000,57.180000,55.099998,57.040001,49.157463,11782800
2016-12-12,56.830002,56.970001,56.400002,56.549999,48.735176,8829300
2016-12-13,57.000000,57.340000,56.700001,57.169998,49.269497,6902800
2016-12-14,57.299999,58.520000,57.270000,58.500000,50.415703,12603900
2016-12-15,58.509998,59.799999,58.279999,58.650002,50.544983,13210800
2016-12-16,58.919998,59.049999,58.200001,58.619999,50.519112,12218200
2016-12-19,59.040001,59.849998,59.020000,59.419998,51.208561,8399100
2016-12-20,59.299999,59.529999,58.939999,59.119999,50.950016,3918800
2016-12-21,59.230000,59.580002,58.680000,58.689999,50.579449,4471200
2016-12-22,58.740002,58.980000,58.520000,58.759998,50.639774,4812000
2016-12-23,58.849998,59.930000,58.770000,59.610001,51.372307,5412800
2016-12-27,59.610001,59.750000,59.290001,59.330002,51.131001,4251900
2016-12-28,59.290001,59.439999,58.540001,58.610001,50.510498,4249100
2016-12-29,58.810001,59.189999,58.630001,58.900002,50.760429,3642700
2016-12-30,58.860001,58.959999,58.209999,58.439999,50.363987,7008900
2017-01-03,58.779999,59.680000,58.580002,59.450001,51.234417,10061700
2017-01-04,59.459999,59.750000,59.029999,59.139999,51.303818,6703400
2017-01-05,59.389999,60.419998,59.310001,60.130001,52.162647,8422300
2017-01-06,60.040001,60.330002,58.849998,59.950001,52.006493,10104600
2017-01-09,59.750000,59.919998,59.650002,59.730000,51.815647,5263000
2017-01-10,59.779999,60.450001,59.720001,59.980000,52.032524,6103700
2017-01-11,58.119999,58.869999,56.529999,56.799999,49.273876,20497900
2017-01-12,56.500000,56.779999,56.020000,56.549999,49.056995,9977900
2017-01-13,56.560001,56.730000,56.049999,56.220001,48.770729,7660200
2017-01-17,55.889999,56.580002,55.209999,56.279999,48.822769,10416300
2017-01-18,56.509998,56.549999,55.889999,56.070000,48.640602,6639200
2017-01-19,56.099998,56.310001,55.340000,55.490002,48.137455,7122300
2017-01-20,55.490002,55.490002,48.919998,49.230000,42.706913,77021200
2017-01-23,49.529999,50.310001,49.150002,50.000000,43.374886,23886100
2017-01-24,50.049999,50.139999,48.930000,48.959999,42.472691,17172800
2017-01-25,49.340000,49.570000,48.799999,49.549999,42.984509,15978500
2017-01-26,48.590000,49.509998,46.009998,46.820000,40.616249,44800800
2017-01-27,47.259998,48.619999,47.119999,47.740002,41.414345,22918700
