Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,58.702290,58.711830,57.099236,57.490459,49.364300,13608490
2016-12-06,57.423664,57.624046,56.879772,57.519085,49.388893,11171261
2016-12-07,56.965649,57.309158,55.935116,57.309158,49.208630,14723981
2016-12-08,56.994274,57.595421,56.774811,57.366413,49.257797,8998757
2016-12-09,57.719467,58.692749,57.633587,58.425571,50.167252,11021187
2016-12-12,58.625954,59.255726,58.492367,58.893131,50.568718,8641808
2016-12-13,58.969467,59.122135,58.444656,58.959923,51.014538,8218626
2016-12-14,59.017178,59.885494,58.769085,58.969467,51.022804,11612574
2016-12-15,59.160305,59.770992,59.007633,59.513359,51.493401,8917851
2016-12-16,59.790077,60.143131,59.208015,59.580154,51.551197,18406758
2016-12-19,58.969467,59.417938,58.082062,58.339695,50.477898,12512072
2016-12-20,58.387405,58.854961,57.604961,57.729008,49.949509,10875201
2016-12-21,57.814884,58.024811,56.622135,56.708015,49.066101,12630706
2016-12-22,56.889313,57.251907,56.450382,56.851147,49.189949,10584800
2016-12-23,57.032444,57.118320,56.536259,56.832062,49.173435,7955892
2016-12-27,57.127865,57.385494,56.832062,57.051525,49.363323,6094749
2016-12-28,56.984734,57.118320,56.498093,56.555344,48.934010,6470981
2016-12-29,56.574429,56.860687,56.278625,56.335876,48.744118,6833065
2016-12-30,56.087788,56.250000,55.877865,56.173664,48.603764,11289685
2017-01-03,56.440842,57.614506,56.345421,57.395039,49.660542,12564158
2017-01-04,57.729008,58.005726,57.290077,57.375954,49.644028,9863671
2017-01-05,57.461830,57.805344,57.251907,57.356869,49.627514,10581446
2017-01-06,57.337788,57.690842,56.803436,57.509541,49.759621,10730053
2017-01-09,57.538170,58.664124,57.328243,58.301525,50.444874,10201861
2017-01-10,58.396946,58.435116,57.146946,57.175571,49.470654,16036706
2017-01-11,59.484734,60.267178,57.967556,58.807251,50.882450,34281862
2017-01-12,59.666031,60.343510,59.274811,59.360687,51.361305,26079899
2017-01-13,59.475189,59.809158,59.255726,59.484734,51.468639,10447617
2017-01-17,59.083969,59.227100,58.396946,58.664124,50.758606,11101150
2017-01-18,58.568703,58.950382,58.282444,58.368320,50.502666,8522022
2017-01-19,58.253819,58.282444,57.318703,57.566795,49.809158,11944999
2017-01-20,59.541985,60.038170,59.303436,59.666031,51.625488,26451834
